,SalesID,Product Name,Product Category,Sales Date,Sales Amount,Quantity Sold,Region,Customer ID,Customer Segment,SalesRep ID,Discount Applied,Cost Of Goods Sold,Sales Channel,Inventory Status,Return Status,Customer Feedback,Customer assessment of Sales Rep,Sentiment,Total Amount
10,11,Wall Art,Home Décor,2024-01-31,38.0,1.0,Latin America,CUST1049,Online Direct,REP005,0.09,30,Marketplace,Out of Stock,Pending Return,Good value for money,Positive,Positive,38.0
11,12,Designer Handbag,Fashion,2023-08-06,195.0,3.0,Europe,CUST1091,Wholesale,REP003,0.2,150,Marketplace,Low Stock,Returned,Excellent quality,Negative,Positive,585.0
12,13,Stroller,Baby Products,2023-08-06,260.0,1.0,Europe,CUST1000,Retail,REP001,0.07,200,Marketplace,Low Stock,Returned,Excellent quality,Positive,Positive,260.0
13,14,Fitness Tracker,Electronics,2023-01-30,100.0,3.0,Europe,CUST1064,Online Direct,REP003,0.1,80,Online Direct,In Stock,Pending Return,Very fast service,Positive,Positive,300.0
14,15,Car Battery,Automotive,2023-01-30,85.0,1.0,Europe,CUST1001,Retail,REP005,0.05,70,Online Direct,In Stock,Pending Return,Very fast service,Neutral,Positive,85.0
15,16,External Hard Drive,Electronics,2023-05-11,115.0,3.0,Latin America,CUST1022,Wholesale,REP009,0.08,90,Online Direct,Low Stock,No Return,Do not recommend,Positive,Negative,345.0
16,17,Gourmet Coffee Beans,Groceries,2023-01-26,32.0,4.0,Asia Pacific,CUST1055,Subscription,REP010,0.12,25,Marketplace,Low Stock,Pending Return,Arrived late,Negative,Negative,128.0
17,18,Cordless Drill,Tools & Home Improvement,2023-02-22,130.0,5.0,Europe,CUST1065,Online Direct,REP003,0.1,100,Retail,Out of Stock,No Return,Delays in delivery,Neutral,Negative,650.0
18,19,Smartwatch,Electronics,2024-03-24,140.0,3.0,North America,CUST1086,Retail,REP010,0.15,110,Marketplace,Low Stock,Pending Return,Nice experience,Neutral,Negative,420.0
19,20,Hardcover Novel,Books & Media,2023-02-25,24.0,5.0,Middle East & Africa,CUST1039,Wholesale,REP007,0.05,20,Wholesale,Low Stock,Returned,Missing accessories,Positive,Negative,120.0
20,21,VR Headset,Wearables,2024-07-16,260.0,1.0,Europe,CUST1094,Retail,REP002,0.08,200,Marketplace,Out of Stock,No Return,Very satisfied,Negative,Positive,260.0
21,22,Electric Shaver,Health & Beauty,2024-03-22,65.0,1.0,North America,CUST1044,Online Direct,REP001,0.1,50,Retail,Out of Stock,Returned,Mislabelled,Positive,Negative,65.0
22,23,Ergonomic Chair,Office Supplies,2023-09-30,195.0,1.0,North America,CUST1091,Retail,REP004,0.12,150,Marketplace,Out of Stock,No Return,Mislabelled,Negative,Negative,195.0
23,24,Baby Monitor,Baby Products,2023-09-30,105.0,5.0,North America,CUST1002,Subscription,REP002,0.07,80,Marketplace,Out of Stock,No Return,Mislabelled,Positive,Negative,525.0
24,25,Smart Refrigerator,Home Appliances,2024-07-12,1040.0,3.0,Europe,CUST1046,Wholesale,REP010,0.1,800,Retail,Low Stock,Returned,Do not recommend,Positive,Negative,3120.0
25,26,Fitness Tracker,Wearables,2024-07-11,90.0,1.0,Asia Pacific,CUST1003,Online Direct,REP004,0.08,70,Marketplace,Out of Stock,Returned,Not worth the money,Neutral,Negative,90.0
26,27,Diamond Necklace,Jewelry,2023-10-03,650.0,1.0,Europe,CUST1059,Retail,REP008,0.2,500,Marketplace,In Stock,Pending Return,Too expensive,Positive,Negative,650.0
27,28,Tire Set,Automotive,2023-10-03,260.0,4.0,Europe,CUST1003,Online Direct,REP006,0.12,200,Marketplace,In Stock,Pending Return,Too expensive,Negative,Negative,1040.0
28,29,Gaming Console,Electronics,2023-07-23,390.0,3.0,Middle East & Africa,CUST1026,Subscription,REP006,0.15,300,Online Direct,Out of Stock,Returned,Great product,Neutral,Positive,1170.0
29,30,Silk Scarf,Fashion,2023-02-07,50.0,1.0,North America,CUST1026,Retail,REP001,0.1,40,Retail,Out of Stock,Returned,Could be better,Neutral,Negative,50.0
30,31,Washing Machine,Home Appliances,2024-06-30,520.0,1.0,Latin America,CUST1033,Wholesale,REP009,0.07,400,Wholesale,Out of Stock,Returned,Nice experience,Positive,Negative,520.0
31,32,Running Shoes,Sports & Outdoors,2023-05-17,75.0,5.0,Europe,CUST1045,Online Direct,REP010,0.08,60,Marketplace,In Stock,No Return,Top notch,Negative,Positive,375.0
32,33,Cotton T-Shirt,Fashion,2024-06-17,20.0,2.0,Latin America,CUST1068,Retail,REP008,0.05,15,Online Direct,Out of Stock,Pending Return,Fast delivery,Positive,Positive,40.0
33,34,Electric Guitar,Musical Instruments,2023-09-08,195.0,1.0,Latin America,CUST1091,Online Direct,REP007,0.12,150,Online Direct,In Stock,Pending Return,Terrible support,Negative,Negative,195.0
34,35,DSLR Camera,Electronics,2023-05-24,780.0,5.0,Latin America,CUST1091,Wholesale,REP006,0.08,600,Wholesale,Low Stock,Returned,Very satisfied,Positive,Positive,3900.0
35,36,Rowing Machine,Fitness Equipment,2023-02-26,325.0,2.0,North America,CUST1072,Subscription,REP005,0.1,250,Marketplace,In Stock,Pending Return,Nice experience,Positive,Negative,650.0
36,37,Smart Doorbell,Home Security,2023-08-23,85.0,2.0,Latin America,CUST1029,Retail,REP001,0.06,70,Retail,Out of Stock,Returned,Poor packaging,Neutral,Negative,170.0
37,38,Bluetooth Headphones,Electronics,2023-11-25,50.0,4.0,Asia Pacific,CUST1028,Online Direct,REP008,0.1,40,Marketplace,Low Stock,Returned,Not worth the money,Positive,Negative,200.0
38,39,Gaming Laptop,Electronics,2023-07-06,1500.0,3.0,Europe,CUST1092,Retail,REP008,0.12,1200,Wholesale,In Stock,Pending Return,Excellent quality,Negative,Positive,4500.0
39,40,Wi-Fi Router,Electronics,2023-10-30,75.0,4.0,Asia Pacific,CUST1027,Wholesale,REP002,0.05,60,Retail,Out of Stock,Returned,Could be better,Neutral,Negative,300.0
40,41,Designer Jeans,Fashion,2024-06-16,100.0,4.0,Europe,CUST1020,Online Direct,REP008,0.15,80,Online Direct,Out of Stock,Pending Return,Terrible support,Neutral,Negative,400.0
41,42,Hair Dryer,Health & Beauty,2024-07-09,38.0,4.0,Europe,CUST1100,Retail,REP006,0.07,30,Marketplace,Low Stock,Returned,Very fast service,Positive,Positive,152.0
42,43,Anti-Aging Cream,Health & Beauty,2023-09-30,50.0,4.0,Europe,CUST1035,Wholesale,REP010,0.08,40,Wholesale,Out of Stock,Returned,Do not recommend,Negative,Negative,200.0
43,44,Brake Pads,Automotive Parts,2023-09-30,65.0,4.0,Europe,CUST1004,Online Direct,REP010,0.1,50,Wholesale,Out of Stock,Returned,Do not recommend,Positive,Negative,260.0
44,45,Organic Honey,Groceries,2023-08-17,26.0,2.0,Europe,CUST1050,Retail,REP008,0.06,20,Retail,Out of Stock,No Return,Fantastic experience,Negative,Positive,52.0
45,46,Digital Camera,Electronics,2023-04-09,520.0,5.0,Middle East & Africa,CUST1027,Online Direct,REP003,0.12,400,Online Direct,In Stock,Returned,Fast delivery,Positive,Positive,2600.0
46,47,Camping Tent,Sports & Outdoors,2023-07-20,130.0,2.0,North America,CUST1083,Wholesale,REP001,0.08,100,Retail,In Stock,No Return,Mislabelled,Positive,Negative,260.0
47,48,LED Lights,Home Décor,2023-02-01,30.0,1.0,Europe,CUST1030,Retail,REP006,0.1,25,Retail,Out of Stock,Returned,Will shop again,Neutral,Positive,30.0
48,49,Smart Thermostat,Electronics,2023-04-05,90.0,5.0,North America,CUST1038,Subscription,REP001,0.15,70,Online Direct,Out of Stock,Returned,Terrible support,Positive,Negative,450.0
49,50,Coffee Maker,Home Appliances,2024-01-19,50.0,5.0,Latin America,CUST1005,Online Direct,REP007,0.05,40,Online Direct,Out of Stock,Returned,Great product,Negative,Positive,250.0
50,51,Fitness Tracker,Wearables,2024-08-10,90.0,4.0,Europe,CUST1100,Retail,REP003,0.12,70,Marketplace,In Stock,Pending Return,Excellent quality,Neutral,Positive,360.0
51,52,Leather Jacket,Fashion,2023-07-05,130.0,2.0,North America,CUST1066,Wholesale,REP002,0.1,100,Retail,Low Stock,No Return,I love it,Neutral,Positive,260.0
52,53,Noise-Canceling Headphones,Electronics,2024-02-19,90.0,4.0,Middle East & Africa,CUST1093,Online Direct,REP002,0.08,70,Marketplace,Low Stock,Returned,I love it,Positive,Positive,360.0
53,54,Crib,Baby Products,2024-02-19,325.0,5.0,Middle East & Africa,CUST1005,Retail,REP008,0.05,250,Marketplace,Low Stock,Returned,I love it,Negative,Positive,1625.0
54,55,Car Stereo,Automotive,2024-02-19,200.0,5.0,Middle East & Africa,CUST1006,Subscription,REP007,0.1,150,Marketplace,Low Stock,Returned,I love it,Positive,Positive,1000.0
55,56,Smartwatch,Electronics,2024-03-03,145.0,4.0,North America,CUST1076,Wholesale,REP001,0.12,110,Online Direct,In Stock,No Return,Would buy again,Negative,Positive,580.0
56,57,eBook Reader,Books & Media,2023-10-13,75.0,4.0,North America,CUST1037,Online Direct,REP007,0.15,60,Wholesale,Low Stock,Returned,Item as described,Positive,Positive,300.0
57,58,Electric Toothbrush,Health & Beauty,2024-03-23,50.0,4.0,North America,CUST1098,Retail,REP006,0.07,40,Retail,Low Stock,No Return,Nice experience,Positive,Negative,200.0
58,59,4K Monitor,Electronics,2023-08-10,390.0,2.0,Middle East & Africa,CUST1082,Subscription,REP005,0.1,300,Marketplace,In Stock,No Return,Not recommended,Neutral,Negative,780.0
59,60,Yoga Mat,Sports & Outdoors,2024-07-30,32.0,2.0,Latin America,CUST1021,Retail,REP006,0.05,25,Wholesale,Out of Stock,No Return,Very fast service,Positive,Positive,64.0
60,61,Winter Coat,Fashion,2023-03-01,150.0,2.0,Middle East & Africa,CUST1055,Wholesale,REP006,0.08,120,Online Direct,In Stock,Returned,Would buy again,Negative,Positive,300.0
61,62,Smart Light Bulbs,Electronics,2024-05-19,20.0,5.0,Latin America,CUST1045,Online Direct,REP005,0.06,15,Online Direct,Out of Stock,No Return,Too expensive,Neutral,Negative,100.0
62,63,Robot Vacuum,Home Appliances,2023-04-22,325.0,4.0,Middle East & Africa,CUST1075,Subscription,REP008,0.12,250,Marketplace,Low Stock,No Return,Very satisfied,Neutral,Positive,1300.0
63,64,Lawn Mower,Tools & Home Improvement,2023-10-17,260.0,4.0,North America,CUST1079,Retail,REP009,0.1,200,Online Direct,Out of Stock,Returned,Not as described,Positive,Negative,1040.0
64,65,Printer,Office Supplies,2023-10-28,160.0,4.0,North America,CUST1015,Wholesale,REP004,0.07,120,Retail,Out of Stock,Pending Return,Very fast service,Negative,Positive,640.0
65,66,Sunglasses,Fashion,2023-11-15,65.0,4.0,Latin America,CUST1063,Online Direct,REP009,0.1,50,Retail,Low Stock,Pending Return,Not recommended,Positive,Negative,260.0
66,67,Wool Sweater,Fashion,2023-01-23,80.0,4.0,North America,CUST1057,Retail,REP006,0.12,60,Wholesale,Low Stock,No Return,Too expensive,Negative,Negative,320.0
67,68,Body Lotion,Health & Beauty,2024-03-17,32.0,1.0,Middle East & Africa,CUST1075,Wholesale,REP010,0.05,25,Wholesale,In Stock,Returned,Great product,Positive,Positive,32.0
68,69,Video Doorbell,Electronics,2023-08-29,90.0,4.0,North America,CUST1056,Online Direct,REP003,0.08,70,Wholesale,In Stock,Pending Return,Quick shipping,Positive,Positive,360.0
69,70,Soundbar,Electronics,2024-07-20,195.0,3.0,Europe,CUST1056,Subscription,REP001,0.1,150,Marketplace,Low Stock,Returned,Satisfied with my purchase,Neutral,Positive,585.0
70,71,Microwave Oven,Home Appliances,2023-07-17,130.0,4.0,Middle East & Africa,CUST1028,Retail,REP010,0.07,100,Wholesale,In Stock,No Return,Not worth the money,Positive,Negative,520.0
71,72,Portable Charger,Electronics,2023-04-23,26.0,4.0,North America,CUST1018,Wholesale,REP007,0.06,20,Online Direct,In Stock,No Return,Poor packaging,Negative,Negative,104.0
72,73,High Chair,Baby Products,2023-04-23,130.0,3.0,North America,CUST1007,Online Direct,REP002,0.08,100,Online Direct,In Stock,No Return,Poor packaging,Neutral,Negative,390.0
73,74,Children's Book,Books & Media,2024-04-22,19.0,3.0,Latin America,CUST1046,Retail,REP006,0.05,15,Online Direct,Out of Stock,No Return,Arrived late,Neutral,Negative,57.0
74,75,Action Camera,Electronics,2024-06-11,260.0,1.0,Europe,CUST1008,Subscription,REP004,0.12,200,Online Direct,Low Stock,No Return,Exceeds expectations,Positive,Positive,260.0
75,76,Denim Jacket,Fashion,2024-02-02,115.0,2.0,North America,CUST1015,Wholesale,REP003,0.1,90,Retail,Low Stock,No Return,Quick shipping,Negative,Positive,230.0
76,77,Activity Tracker,Wearables,2023-06-06,100.0,3.0,Europe,CUST1060,Online Direct,REP006,0.1,80,Marketplace,Low Stock,No Return,Could be better,Positive,Negative,300.0
77,78,Bluetooth Speaker,Electronics,2023-08-04,25.0,4.0,Middle East & Africa,CUST1005,Retail,REP003,0.15,20,Retail,In Stock,Pending Return,Not recommended,Negative,Negative,100.0
78,79,Leather Boots,Fashion,2023-02-27,120.0,4.0,Middle East & Africa,CUST1087,Retail,REP009,0.05,80,Marketplace,Out of Stock,No Return,Satisfied with my purchase,Positive,Positive,480.0
79,80,Air Purifier,Home Appliances,2023-10-18,65.0,5.0,Middle East & Africa,CUST1035,Wholesale,REP007,0.08,50,Marketplace,Out of Stock,No Return,Excellent quality,Positive,Positive,325.0
80,81,Treadmill,Sports & Outdoors,2024-05-04,390.0,1.0,North America,CUST1096,Subscription,REP009,0.12,300,Retail,Low Stock,Returned,Do not recommend,Neutral,Negative,390.0
81,82,Wireless Earbuds,Electronics,2023-03-31,32.0,4.0,Middle East & Africa,CUST1073,Retail,REP001,0.07,25,Marketplace,Low Stock,Pending Return,Damaged on arrival,Positive,Negative,128.0
82,83,Organic Almonds,Groceries,2023-02-09,19.0,2.0,Middle East & Africa,CUST1045,Retail,REP001,0.1,15,Online Direct,In Stock,Pending Return,Will return,Negative,Negative,38.0
83,84,Smartwatch,Wearables,2023-03-19,130.0,3.0,Europe,CUST1010,Online Direct,REP010,0.06,100,Marketplace,In Stock,Pending Return,Fast delivery,Neutral,Positive,390.0
84,85,4K Ultra HD TV,Electronics,2024-03-31,650.0,1.0,North America,CUST1077,Wholesale,REP010,0.14,500,Retail,In Stock,Pending Return,Good value for money,Neutral,Positive,650.0
85,86,Skincare Set,Health & Beauty,2023-06-21,80.0,1.0,Latin America,CUST1019,Subscription,REP007,0.09,60,Retail,Out of Stock,Returned,Very satisfied,Positive,Positive,80.0
86,87,Wall Art,Home Décor,2024-08-30,38.0,2.0,Asia Pacific,CUST1060,Online Direct,REP006,0.2,30,Wholesale,Out of Stock,Returned,Delays in delivery,Negative,Negative,76.0
87,88,Designer Handbag,Fashion,2024-04-14,195.0,3.0,Middle East & Africa,CUST1063,Wholesale,REP007,0.07,150,Retail,In Stock,Returned,Poor packaging,Positive,Negative,585.0
88,89,Stroller,Baby Products,2024-04-14,260.0,2.0,Middle East & Africa,CUST1008,Retail,REP009,0.1,200,Retail,In Stock,Returned,Poor packaging,Negative,Negative,520.0
89,90,Fitness Tracker,Electronics,2024-03-11,100.0,4.0,Europe,CUST1087,Online Direct,REP009,0.05,80,Wholesale,Out of Stock,Returned,Will shop again,Positive,Positive,400.0
90,91,Car Battery,Automotive,2024-03-11,85.0,1.0,Europe,CUST1009,Retail,REP006,0.08,70,Wholesale,Out of Stock,Returned,Will shop again,Positive,Positive,85.0
91,92,External Hard Drive,Electronics,2023-02-17,115.0,1.0,Middle East & Africa,CUST1085,Wholesale,REP009,0.12,90,Wholesale,Low Stock,Returned,Delays in delivery,Neutral,Negative,115.0
92,93,Gourmet Coffee Beans,Groceries,2024-01-29,32.0,1.0,Middle East & Africa,CUST1008,Subscription,REP010,0.1,25,Marketplace,Out of Stock,Pending Return,Won't buy again,Positive,Negative,32.0
93,94,Cordless Drill,Tools & Home Improvement,2024-05-29,130.0,1.0,Asia Pacific,CUST1089,Online Direct,REP002,0.15,100,Marketplace,Out of Stock,No Return,Perfect fit,Negative,Positive,130.0
94,95,Smartwatch,Electronics,2024-07-01,140.0,4.0,Latin America,CUST1022,Retail,REP007,0.05,110,Online Direct,Out of Stock,No Return,Not as described,Neutral,Negative,560.0
95,96,Hardcover Novel,Books & Media,2023-08-29,24.0,4.0,Middle East & Africa,CUST1100,Wholesale,REP008,0.08,20,Wholesale,Out of Stock,Pending Return,Fantastic experience,Neutral,Positive,96.0
96,97,VR Headset,Wearables,2023-11-12,260.0,1.0,Middle East & Africa,CUST1068,Retail,REP001,0.1,200,Retail,Out of Stock,No Return,Terrible support,Positive,Negative,260.0
97,98,Electric Shaver,Health & Beauty,2023-06-29,65.0,4.0,Middle East & Africa,CUST1016,Online Direct,REP004,0.12,50,Online Direct,Low Stock,Returned,Not worth the money,Negative,Negative,260.0
98,99,Ergonomic Chair,Office Supplies,2023-11-26,195.0,3.0,Europe,CUST1065,Retail,REP007,0.07,150,Online Direct,In Stock,Returned,Do not recommend,Positive,Negative,585.0
99,100,Baby Monitor,Baby Products,2023-11-26,105.0,3.0,Europe,CUST1010,Subscription,REP004,0.1,80,Online Direct,In Stock,Returned,Do not recommend,Negative,Negative,315.0
100,101,Smart Refrigerator,Home Appliances,2024-05-15,1040.0,3.0,Latin America,CUST1053,Wholesale,REP007,0.08,800,Retail,In Stock,No Return,Could be better,Positive,Negative,3120.0
101,102,Fitness Tracker,Wearables,2023-05-25,90.0,1.0,Latin America,CUST1005,Online Direct,REP009,0.2,70,Marketplace,Out of Stock,No Return,I love it,Positive,Positive,90.0
102,103,Diamond Necklace,Jewelry,2023-07-31,650.0,3.0,North America,CUST1095,Retail,REP010,0.12,500,Online Direct,Low Stock,Returned,Quick shipping,Neutral,Positive,1950.0
103,104,Tire Set,Automotive,2023-07-31,260.0,3.0,North America,CUST1011,Online Direct,REP008,0.15,200,Online Direct,Low Stock,Returned,Quick shipping,Positive,Positive,780.0
104,105,Gaming Console,Electronics,2024-03-01,390.0,5.0,Latin America,CUST1099,Subscription,REP005,0.1,300,Online Direct,Low Stock,No Return,Perfect fit,Negative,Positive,1950.0
105,106,Silk Scarf,Fashion,2023-04-24,50.0,5.0,Middle East & Africa,CUST1019,Retail,REP010,0.07,40,Marketplace,Low Stock,No Return,Exceeds expectations,Neutral,Positive,250.0
106,107,Washing Machine,Home Appliances,2023-02-04,520.0,3.0,Latin America,CUST1003,Wholesale,REP001,0.08,400,Wholesale,In Stock,Pending Return,Fast delivery,Neutral,Positive,1560.0
107,108,Running Shoes,Sports & Outdoors,2023-10-07,75.0,3.0,Middle East & Africa,CUST1033,Online Direct,REP006,0.05,60,Wholesale,Out of Stock,Returned,Nice experience,Positive,Negative,225.0
108,109,Cotton T-Shirt,Fashion,2023-12-12,20.0,1.0,North America,CUST1022,Retail,REP007,0.12,15,Marketplace,Low Stock,No Return,Damaged on arrival,Negative,Negative,20.0
109,110,Electric Guitar,Musical Instruments,2023-03-27,195.0,5.0,Europe,CUST1070,Online Direct,REP010,0.08,150,Marketplace,In Stock,Returned,I love it,Positive,Positive,975.0
110,111,DSLR Camera,Electronics,2023-10-23,780.0,1.0,Europe,CUST1100,Wholesale,REP002,0.1,600,Wholesale,In Stock,No Return,Color not as shown,Negative,Negative,780.0
111,112,Rowing Machine,Fitness Equipment,2024-08-11,325.0,2.0,Middle East & Africa,CUST1043,Subscription,REP002,0.06,250,Retail,Low Stock,Returned,Great product,Positive,Positive,650.0
112,113,Smart Doorbell,Home Security,2024-07-02,85.0,5.0,Asia Pacific,CUST1007,Retail,REP008,0.1,70,Marketplace,Out of Stock,Pending Return,Exceeds expectations,Positive,Positive,425.0
113,114,Bluetooth Headphones,Electronics,2024-08-23,50.0,1.0,Europe,CUST1004,Online Direct,REP009,0.12,40,Wholesale,Low Stock,Pending Return,Missing accessories,Neutral,Negative,50.0
114,115,Gaming Laptop,Electronics,2024-03-05,1500.0,3.0,Latin America,CUST1048,Retail,REP004,0.05,1200,Online Direct,Out of Stock,Pending Return,Item as described,Positive,Positive,4500.0
115,116,Wi-Fi Router,Electronics,2023-05-12,75.0,5.0,Asia Pacific,CUST1056,Wholesale,REP004,0.15,60,Online Direct,In Stock,Returned,Arrived late,Negative,Negative,375.0
116,117,Designer Jeans,Fashion,2023-04-20,100.0,2.0,Latin America,CUST1034,Online Direct,REP003,0.07,80,Online Direct,In Stock,No Return,Good value for money,Neutral,Positive,200.0
117,118,Hair Dryer,Health & Beauty,2023-09-01,38.0,1.0,Latin America,CUST1054,Retail,REP002,0.08,30,Marketplace,In Stock,No Return,Excellent quality,Neutral,Positive,38.0
118,119,Anti-Aging Cream,Health & Beauty,2023-10-23,50.0,5.0,North America,CUST1016,Wholesale,REP006,0.1,40,Online Direct,In Stock,No Return,Could be better,Positive,Negative,250.0
119,120,Brake Pads,Automotive Parts,2023-10-23,65.0,5.0,North America,CUST1012,Online Direct,REP001,0.06,50,Online Direct,In Stock,No Return,Could be better,Negative,Negative,325.0
120,121,Organic Honey,Groceries,2024-06-02,26.0,1.0,Latin America,CUST1098,Retail,REP002,0.12,20,Online Direct,Low Stock,Pending Return,Returning this item,Positive,Negative,26.0
121,122,Digital Camera,Electronics,2024-02-21,520.0,3.0,Middle East & Africa,CUST1073,Online Direct,REP003,0.08,400,Online Direct,Out of Stock,Pending Return,Fantastic experience,Negative,Positive,1560.0
122,123,Camping Tent,Sports & Outdoors,2024-01-15,130.0,4.0,Asia Pacific,CUST1050,Wholesale,REP009,0.1,100,Retail,In Stock,No Return,Great product,Positive,Positive,520.0
123,124,LED Lights,Home Décor,2024-06-25,30.0,3.0,North America,CUST1095,Retail,REP005,0.15,25,Wholesale,Out of Stock,No Return,Not as described,Positive,Negative,90.0
124,125,Smart Thermostat,Electronics,2024-08-18,90.0,1.0,North America,CUST1051,Subscription,REP010,0.05,70,Retail,In Stock,Returned,Will return,Neutral,Negative,90.0
125,126,Coffee Maker,Home Appliances,2023-02-27,50.0,3.0,Latin America,CUST1014,Online Direct,REP009,0.12,40,Marketplace,In Stock,Returned,Terrible support,Positive,Negative,150.0
126,127,Fitness Tracker,Wearables,2024-03-21,90.0,4.0,Latin America,CUST1085,Retail,REP007,0.1,70,Retail,In Stock,Returned,Would buy again,Negative,Positive,360.0
127,128,Leather Jacket,Fashion,2023-03-23,130.0,2.0,Latin America,CUST1035,Wholesale,REP007,0.08,100,Retail,In Stock,Pending Return,Will shop again,Neutral,Positive,260.0
128,129,Noise-Canceling Headphones,Electronics,2023-08-04,90.0,5.0,Asia Pacific,CUST1035,Online Direct,REP005,0.05,70,Wholesale,Low Stock,No Return,Won't buy again,Neutral,Negative,450.0
129,130,Crib,Baby Products,2023-08-04,325.0,4.0,Asia Pacific,CUST1013,Retail,REP008,0.1,250,Wholesale,Low Stock,No Return,Won't buy again,Positive,Negative,1300.0
130,131,Car Stereo,Automotive,2023-08-04,200.0,4.0,Asia Pacific,CUST1014,Subscription,REP010,0.12,150,Wholesale,Low Stock,No Return,Won't buy again,Negative,Negative,800.0
131,132,Smartwatch,Electronics,2023-06-25,145.0,3.0,Latin America,CUST1062,Wholesale,REP002,0.15,110,Retail,In Stock,Pending Return,Returning this item,Positive,Negative,435.0
132,133,eBook Reader,Books & Media,2024-01-23,75.0,4.0,Asia Pacific,CUST1027,Online Direct,REP010,0.07,60,Retail,Low Stock,Returned,Will return,Negative,Negative,300.0
133,134,Electric Toothbrush,Health & Beauty,2023-03-20,50.0,1.0,Asia Pacific,CUST1077,Retail,REP001,0.1,40,Marketplace,In Stock,No Return,Fast delivery,Positive,Positive,50.0
134,135,4K Monitor,Electronics,2023-12-21,390.0,4.0,North America,CUST1008,Subscription,REP006,0.05,300,Wholesale,Out of Stock,Pending Return,Top notch,Positive,Positive,1560.0
135,136,Yoga Mat,Sports & Outdoors,2023-11-01,32.0,4.0,Asia Pacific,CUST1023,Retail,REP008,0.08,25,Online Direct,Out of Stock,Pending Return,Very satisfied,Neutral,Positive,128.0
136,137,Winter Coat,Fashion,2023-12-30,150.0,3.0,Europe,CUST1062,Wholesale,REP004,0.06,120,Marketplace,In Stock,No Return,Delays in delivery,Positive,Negative,450.0
137,138,Smart Light Bulbs,Electronics,2023-04-01,20.0,1.0,Asia Pacific,CUST1052,Online Direct,REP001,0.12,15,Online Direct,Out of Stock,No Return,Mislabelled,Negative,Negative,20.0
138,139,Robot Vacuum,Home Appliances,2023-03-31,325.0,3.0,Asia Pacific,CUST1052,Subscription,REP004,0.1,250,Marketplace,In Stock,Pending Return,I love it,Neutral,Positive,975.0
139,140,Lawn Mower,Tools & Home Improvement,2024-03-23,260.0,3.0,North America,CUST1069,Retail,REP004,0.07,200,Marketplace,Out of Stock,No Return,Color not as shown,Neutral,Negative,780.0
140,141,Printer,Office Supplies,2024-01-11,160.0,4.0,Latin America,CUST1100,Wholesale,REP004,0.1,120,Retail,In Stock,Pending Return,Nice experience,Positive,Negative,640.0
141,142,Sunglasses,Fashion,2023-09-13,65.0,5.0,Asia Pacific,CUST1074,Online Direct,REP008,0.12,50,Marketplace,In Stock,No Return,Not as described,Negative,Negative,325.0
142,143,Wool Sweater,Fashion,2023-05-15,80.0,3.0,Asia Pacific,CUST1030,Retail,REP004,0.05,60,Retail,Out of Stock,Pending Return,Perfect fit,Positive,Positive,240.0
143,144,Body Lotion,Health & Beauty,2023-06-09,32.0,4.0,Asia Pacific,CUST1018,Wholesale,REP008,0.08,25,Retail,In Stock,Returned,Terrible support,Negative,Negative,128.0
